date,open,high,low,close,volume,Sentiment
6/24/2019,350,354.75,349.65,353.2,17919504,0
6/25/2019,352.7,357,351.25,356.55,15922634,0
6/26/2019,355.75,359,354.3,358.15,15835579,0
6/27/2019,358.1,363,357.25,362.15,29658120,0
6/28/2019,362.2,365,358.7,361.25,22708464,0
7/1/2019,362.8,363,358.5,361.55,12348793,0
7/2/2019,362.15,365,360.35,364.5,14482172,0
7/3/2019,365.25,366.7,363,366.15,12626285,0
7/4/2019,367.25,370.9,366.2,367.4,19252646,0
7/5/2019,369.45,373.6,366,370.65,30019347,0
7/8/2019,368,368.45,353.5,355.3,27247892,0
7/9/2019,353.5,360,352.5,359.5,16579914,1
7/10/2019,360.55,361.5,351.3,354.2,18681819,1
7/11/2019,358.5,364,357,363.2,20048321,0
7/12/2019,363,366.55,361.5,363.6,14661748,1
7/15/2019,364.1,365,357.6,360.05,15665939,-1
7/16/2019,358.5,366,357.65,364.35,16251836,0
7/17/2019,364.05,373.55,363.05,372.4,17545177,0
7/18/2019,371.95,373.8,362.55,363.65,21691056,0
7/19/2019,365.1,366.05,355.15,356,22213173,-1
7/22/2019,356,359.55,348.7,350.85,19682038,0
7/23/2019,351.2,353,341,342.2,27956145,0
7/24/2019,341.85,344.7,336.25,339.6,20823143,0
7/25/2019,341.7,343.2,337.4,341.3,19857643,0
7/26/2019,340.8,346.15,340.5,342.6,16139052,0
7/29/2019,343.95,346.55,336.8,343.8,17060483,-1
7/30/2019,344.4,346.7,325.85,327.55,24437235,1
7/31/2019,325.1,333.2,323.9,332.2,22741445,-1
8/1/2019,330.8,331.5,311.35,317.15,40853304,0
8/2/2019,315.55,322.25,307.05,308.45,64472348,0
8/5/2019,298.45,302.85,291.7,300.25,48815899,1
8/6/2019,298.8,304.25,297.25,301.4,30442970,0
8/7/2019,302.4,302.45,288.8,289.9,30820114,1
8/8/2019,290,295.5,285.6,294.35,32929233,0
8/9/2019,296.3,298,290.05,291.35,23377581,0
8/13/2019,290.9,291.55,282.5,283.35,24231272,0
8/14/2019,285.05,291.25,284.5,289.75,18523649,-1
